vaalipiiri,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.,kotikunta,Äidinkieli,Työnantaja,Ammattiasema,Koulutus,Uskonnollinen yhteisö,Poliittisen puolueen jäsen,Poliittinen kokemus,Käytän vaaleihin rahaa,Ulkopuolisen rahoituksen osuus,Vuositulot,127|Suomessa on liian helppo elää sosiaaliturvan varassa,128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.,129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.,130|Työntekijälle on turvattava lailla minimityöaika.,131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.,132|Euron ulkopuolella Suomi pärjäisi paremmin.,134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.,135|Lapsilisiä on korotettava ja laitettava verolle.,136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.,137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,138|Suomeen tarvitaan enemmän poliiseja.,139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.,140|Venäjän etupiiripolitiikka on uhka Suomelle.,141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.,142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.,143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.,144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.,145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.,146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.,148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.,150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.,151|On aika luopua ajatuksesta että koko Suomi on pidettävä asuttuna.,201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.,244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.,245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.,246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.,247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.,248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
07 Pirkanmaan vaalipiiri,Nurmo,Mikko,Perussuomalaiset,37,M,0,Valkeakoski,suomi ,yksityinen ,työntekijä ,korkeakoulututkinto ,null,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,null,null,null,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,Kyllä,Kyllä,Ei,Ei,Kyllä,Kyllä
02 Uudenmaan vaalipiiri,Nyberg Lindholm,Diana,Suomen ruotsalainen kansanpuolue,56,F,0,Raasepori,ruotsi ,yksityinen ,yrittäjä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,5 000-10 000 euroa,51-80 %,20 000-30 000 euroa,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
06 Hämeen vaalipiiri,Nygrén,Paavo,Suomen Kommunistinen Puolue,37,M,0,Heinola,suomi ,yksityinen ,työntekijä ,ammattitutkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,81-100%,alle 20 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
02 Uudenmaan vaalipiiri,Nygård,Mauri,Itsenäisyyspuolue,73,M,0,Kokkola,suomi ,ei työelämässä,johtava asema ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kuntayhtymä tai maakuntahallinto ,alle 1 000 euroa,0- %,30 000-50 000 euroa,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
10 Vaasan vaalipiiri,Nygård-Fagerudd,Wivan,Suomen ruotsalainen kansanpuolue,51,F,0,Vaasa,ruotsi ,yksityinen ,taiteilija ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,5 000-10 000 euroa,81-100%,30 000-50 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
01 Helsingin vaalipiiri,Nyholm,Henrik,Vasemmistoliitto,27,M,0,null,suomi ,null,null,null,null,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,null,81-100%,null,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Tyhjä
13 Lapin vaalipiiri,Nykänen,Jari,Kansallinen Kokoomus,0,M,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
08 Kaakkois-Suomen vaalipiiri,Nykänen,Marika,Kansallinen Kokoomus,34,F,0,Pieksämäki,suomi ,yksityinen ,asiantuntijatehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa,81-100%,null,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Kyllä
02 Uudenmaan vaalipiiri,Nylander ,Mikaela ,Suomen ruotsalainen kansanpuolue,45,F,1,Borgå ,ruotsi ,julkinen ,joku muu,ylioppilas ,evankelis-luterilainen kirkko ,kyllä ,kunnan- tai kaupunginvaltuusto |kansanedustaja ,20 000-50 000 euroa,81-100%,70 000-100 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Kyllä,Ei,Kyllä,Ei
10 Vaasan vaalipiiri,Nylund,Mats,Suomen ruotsalainen kansanpuolue,50,M,1,Pedersören kunta,ruotsi ,julkinen ,joku muu,ammattitutkinto ,evankelis-luterilainen kirkko ,kyllä ,kunnan- tai kaupunginvaltuusto |kansanedustaja ,20 000-50 000 euroa,81-100%,yli 100 000 euroa,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,Ei,Kyllä,Kyllä,Ei,Ei,Ei
