vaalipiiri,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.,kotikunta,Äidinkieli,Työnantaja,Ammattiasema,Koulutus,Uskonnollinen yhteisö,Poliittisen puolueen jäsen,Poliittinen kokemus,Käytän vaaleihin rahaa,Ulkopuolisen rahoituksen osuus,Vuositulot,127|Suomessa on liian helppo elää sosiaaliturvan varassa,128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.,129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.,130|Työntekijälle on turvattava lailla minimityöaika.,131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.,132|Euron ulkopuolella Suomi pärjäisi paremmin.,134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.,135|Lapsilisiä on korotettava ja laitettava verolle.,136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.,137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,138|Suomeen tarvitaan enemmän poliiseja.,139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.,140|Venäjän etupiiripolitiikka on uhka Suomelle.,141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.,142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.,143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.,144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.,145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.,146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.,148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.,150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.,151|On aika luopua ajatuksesta että koko Suomi on pidettävä asuttuna.,201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.,244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.,245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.,246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.,247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.,248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
08 Kaakkois-Suomen vaalipiiri,Aalto,Airi,Perussuomalaiset,57,F,0,Imatra,suomi ,julkinen ,korkeakoulututkintoa vaativa tehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,10 000-20 000 euroa,null,30 000-50 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Kyllä,Ei,Kyllä,Ei,Kyllä
12 Oulun vaalipiiri,Aalto,Esa,Vihreä liitto,32,M,0,Oulu,suomi ,ei työelämässä,asiantuntijatehtävä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,0- %,20 000-30 000 euroa,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,Ei,Ei,Ei,Ei,Ei,Kyllä
07 Pirkanmaan vaalipiiri,Aalto,Harri,Vasemmistoliitto,57,M,0,Pirkkala,null,julkinen ,työntekijä ,ammattitutkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,kunnan- tai kaupunginvaltuusto ,alle 1 000 euroa,1-20 %,20 000-30 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
12 Oulun vaalipiiri,Aalto,Matti,Suomen Kommunistinen Puolue,60,M,0,Oulu,suomi ,yksityinen ,työntekijä ,null,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,1-20 %,20 000-30 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Kyllä
13 Lapin vaalipiiri,Aalto,Pirkka,Suomen Kristillisdemokraatit (KD),45,M,0,Kemijärvi,suomi ,julkinen ,korkeakoulututkintoa vaativa tehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,5 000-10 000 euroa,51-80 %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Kyllä,Kyllä,Ei,Kyllä
11 Keski-Suomen vaalipiiri,Aalto,Touko,Vihreä liitto,30,M,0,Jyväskylä,null,julkinen ,asiantuntijatehtävä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,10 000-20 000 euroa,51-80 %,20 000-30 000 euroa,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Kyllä,Ei,Kyllä,Kyllä
08 Kaakkois-Suomen vaalipiiri,Aalto-Partanen,Annika,Vihreä liitto,36,F,0,Kotka,suomi ,julkinen ,asiantuntijatehtävä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa,1-20 %,30 000-50 000 euroa,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,Ei,Ei,Ei,Ei,Kyllä,Ei
12 Oulun vaalipiiri,Aaltonen,Henri,Piraattipuolue,37,M,0,Siikajoki,suomi ,yksityinen ,maanviljelijä ,ammattitutkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,ei mitään näistä,1 000-5 000 euroa,0- %,null,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,ohita kysymys,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,Kyllä,Ei,Kyllä,Ei,Kyllä,Kyllä
07 Pirkanmaan vaalipiiri,Aaltonen,Mikko,Vasemmistoliitto,39,M,0,Tampere,suomi ,julkinen ,johtava asema ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,5 000-10 000 euroa,1-20 %,50 000-70 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
10 Vaasan vaalipiiri,Aarnos,Eila,Vasemmistoliitto,66,F,0,Kokkola,suomi ,ei työelämässä,korkeakoulututkintoa vaativa tehtävä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa,51-80 %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Kyllä,Ei,Kyllä,Kyllä
12 Oulun vaalipiiri,Aavakare,Eila,Perussuomalaiset,62,F,0,Kajaani,suomi ,yksityinen ,yrittäjä ,ammattitutkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,5 000-10 000 euroa,1-20 %,alle 20 000 euroa,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Tyhjä,Kyllä,Kyllä
11 Keski-Suomen vaalipiiri,Abbey,Paul,Vasemmistoliitto,0,M,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
02 Uudenmaan vaalipiiri,Abrahamsson,Anna,Suomen ruotsalainen kansanpuolue,25,F,0,Sipoo,ruotsi ,julkinen ,joku muu,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa,null,20 000-30 000 euroa,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
08 Kaakkois-Suomen vaalipiiri,Abu Taher,Faruk,Vasemmistoliitto,34,M,0,Kotka,muu,yksityinen ,työntekijä ,korkeakoulututkinto ,muu uskonnollinen yhteisö ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa,51-80 %,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
02 Uudenmaan vaalipiiri,Adlercreutz,Anders,Suomen ruotsalainen kansanpuolue,44,M,0,Kirkkonummi,ruotsi ,yksityinen ,yrittäjä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,20 000-50 000 euroa,51-80 %,70 000-100 000 euroa,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,Kyllä,Ei,Kyllä,Ei,Kyllä,Ei
02 Uudenmaan vaalipiiri,af Hällström,Nina,Suomen ruotsalainen kansanpuolue,51,F,0,Espoo,ruotsi ,yksityinen ,johtava asema ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,1 000-5 000 euroa,1-20 %,50 000-70 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,Ei,Tyhjä,Ei,Ei,Kyllä,Ei
13 Lapin vaalipiiri,Ahlakorpi,Anni,Vasemmistoliitto,28,F,0,Utsjoki,suomi ,ei työelämässä,opiskelija ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,ei,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa,81-100%,alle 20 000 euroa,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Tyhjä,Ei
13 Lapin vaalipiiri,Ahlakorpi,Arto,Suomen Kommunistinen Puolue,69,M,0,Utsjoki,suomi ,ei työelämässä,eläkeläinen ,ylioppilas ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,alle 1 000 euroa,51-80 %,alle 20 000 euroa,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
01 Helsingin vaalipiiri,Ahlavuo,Valentina,Perussuomalaiset,42,F,0,Helsinki,muu,yksityinen ,yrittäjä ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ,1 000-5 000 euroa,0- %,30 000-50 000 euroa,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,ohita kysymys,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,ohita kysymys,Kyllä,Kyllä,Kyllä,Ei,Ei,Ei
10 Vaasan vaalipiiri,Ahlberg,Rurik,Suomen ruotsalainen kansanpuolue,42,M,0,Mustasaari,ruotsi ,julkinen ,johtava asema ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,ei mitään näistä,20 000-50 000 euroa,81-100%,70 000-100 000 euroa,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,Ei,Ei,Kyllä,Ei,Tyhjä,Ei
03 Varsinais-Suomen vaalipiiri,Ahlfors,Jari,Itsenäisyyspuolue,36,M,0,Somero,suomi ,null,työntekijä ,ammattitutkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,null,ei mitään näistä,null,null,null,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,Kyllä,Ei,Ei,Ei,Ei,Kyllä
02 Uudenmaan vaalipiiri,Ahlfors,Tiina,Vasemmistoliitto,38,F,0,Espoo,suomi ,yksityinen ,johtava asema ,korkeakoulututkinto ,null,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,1 000-5 000 euroa,51-80 %,null,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
07 Pirkanmaan vaalipiiri,Ahlqvist,Tero,Perussuomalaiset,48,M,0,Pälkäne,suomi ,yksityinen ,yrittäjä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,5 000-10 000 euroa,1-20 %,alle 20 000 euroa,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,Kyllä,Kyllä,Ei,Kyllä,Kyllä,Kyllä
08 Kaakkois-Suomen vaalipiiri,Aho,Eero,Kansallinen Kokoomus,31,M,0,Mikkeli,suomi ,julkinen ,toimihenkilö ,null,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,alle 1 000 euroa,0- %,30 000-50 000 euroa,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,Ei,Kyllä,Ei,Ei,Kyllä,Kyllä
04 Satakunnan vaalipiiri,Ahokangas,Petri,Suomen Sosialidemokraattinen Puolue,32,M,0,Kankaanpää,suomi ,yksityinen ,työntekijä ,ammattitutkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,10 000-20 000 euroa,81-100%,30 000-50 000 euroa,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Ei
01 Helsingin vaalipiiri,Ahola,Amos,Piraattipuolue,32,M,0,Helsinki,null,yksityinen ,johtava asema ,korkeakoulututkinto ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,ei mitään näistä,alle 1 000 euroa,0- %,50 000-70 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,ohita kysymys,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,täysin samaa mieltä,jokseenkin eri mieltä,ohita kysymys,ohita kysymys,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,Kyllä,Kyllä,Ei,Ei,Kyllä,Kyllä
11 Keski-Suomen vaalipiiri,Ahola,Lotta,Kansallinen Kokoomus,43,F,0,Jämsä,suomi ,yksityinen ,työntekijä ,korkeakoulututkinto ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,10 000-20 000 euroa,51-80 %,30 000-50 000 euroa,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Ei
