vaalipiiri;puolue;ikä;sukupuoli;Toimin tällä hetkellä kansanedustajana.;kotikunta;Äidinkieli;Työnantaja;Ammattiasema;Koulutus;Uskonnollinen yhteisö;Poliittisen puolueen jäsen;Käytän vaaleihin rahaa;Vuositulot;127|Suomessa on liian helppo elää sosiaaliturvan varassa;128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.;129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.;130|Työntekijälle on turvattava lailla minimityöaika.;131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.;132|Euron ulkopuolella Suomi pärjäisi paremmin.;134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.;135|Lapsilisiä on korotettava ja laitettava verolle.;136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.;137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.;138|Suomeen tarvitaan enemmän poliiseja.;139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.;140|Venäjän etupiiripolitiikka on uhka Suomelle.;141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.;142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.;143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.;144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.;145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.;146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.;148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.;150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.;151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.;201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.;244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.;245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.;246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.;247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.;248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.;class
02 Uudenmaan vaalipiiri;Suomen Keskusta;39;M;0;Vihti;suomi ;yksityinen ;maanviljelijä ;null;evankelis-luterilainen kirkko ;kyllä ;10 000-20 000 euroa;30 000-50 000 euroa;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei;Valittu
06 Hämeen vaalipiiri;Kansallinen Kokoomus;54;M;0;Lahti;suomi ;yksityinen ;johtava asema ;ammattitutkinto ;evankelis-luterilainen kirkko ;kyllä ;20 000-50 000 euroa;70 000-100 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Kyllä;Kyllä;Ei;Ei valittu
07 Pirkanmaan vaalipiiri;Valitsijayhdistys Anita Viljanmaa;62;F;0;null;suomi ;null;yrittäjä ;ylioppilas ;evankelis-luterilainen kirkko ;ei;alle 1 000 euroa;alle 20 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
11 Keski-Suomen vaalipiiri;Suomen Kristillisdemokraatit (KD);36;M;0;Jyväskylä;suomi ;julkinen ;työntekijä ;ylioppilas ;muu kristillinen kirkko tai yhteisö ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Kyllä;Ei;Kyllä;Ei;Ei;Ei valittu
09 Savo-Karjalan vaalipiiri;Vihreä liitto;26;F;0;Kuopio;suomi ;ei työelämässä;joku muu;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;alle 20 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Ei;Ei valittu
01 Helsingin vaalipiiri;Itsenäisyyspuolue;41;F;0;null;suomi ;yksityinen ;asiantuntijatehtävä ;joku muu;evankelis-luterilainen kirkko ;kyllä ;null;null;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Tyhjä;Ei;Ei;Kyllä;Ei;Ei valittu
02 Uudenmaan vaalipiiri;Suomen Keskusta;38;F;0;Vantaa;suomi ;julkinen ;toimihenkilö ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Ei;Ei valittu
03 Varsinais-Suomen vaalipiiri;Kansallinen Kokoomus;49;F;1;Lieto;suomi ;julkinen ;joku muu;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;20 000-50 000 euroa;70 000-100 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Kyllä;Kyllä;Kyllä;Ei;Kyllä;Ei;Valittu
02 Uudenmaan vaalipiiri;Vihreä liitto;40;M;0;Lapinjärvi;suomi ;yksityinen ;asiantuntijatehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;1 000-5 000 euroa;alle 20 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Kyllä;Ei valittu
01 Helsingin vaalipiiri;Piraattipuolue;44;M;0;Helsinki;suomi ;julkinen ;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;null;null;alle 1 000 euroa;30 000-50 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;ohita kysymys;jokseenkin eri mieltä;jokseenkin samaa mieltä;ohita kysymys;jokseenkin eri mieltä;täysin samaa mieltä;Ei;Kyllä;Kyllä;Ei;Kyllä;Kyllä;Ei valittu
